CATEGORY,DISH,PRICE,CURRENT_IMAGE,IMAGE_STATUS,ACTION,NOTES
"Volailles","Escalope sauce Gorgonzola",22,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060759/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Volailles","Cordon Bleu",23,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060796/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Volailles","Escalope Bizz'Art",23.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060785/bizzart/menu/F04A3E","OK","KEEP","Image Cloudinary existante"
"Volailles","Escalope du Chef",25.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060790/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Volailles","Involtini",22,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060753/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Volailles","Escalope Orientale",23,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060795/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Volailles","Suprême",24,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060780/bizzart/menu/DDBA87","OK","KEEP","Image Cloudinary existante"
"Volailles","Suprême Maison",25,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060800/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Volailles","Poulet à l'italienne",28,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060803/bizzart/menu/FD0F85","OK","KEEP","Image Cloudinary existante"
"Viandes","Steak Grillé",26,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060788/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Viandes","Steak",30,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060765/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Viandes","Steak Farci",32.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060783/bizzart/menu/EB2F2B","OK","KEEP","Image Cloudinary existante"
"Viandes","Foie Grillé",25,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060811/bizzart/menu/IMG_97","OK","KEEP","Image Cloudinary existante"
"Viandes","Foie à la Lyonnaise",28,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060791/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Viandes","Grillade Mixte",32,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060776/bizzart/menu/CE03FC","OK","KEEP","Image Cloudinary existante"
"Viandes","Grillade Royale",43,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060759/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Viandes","Panorama de Viande",65,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060758/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Viandes","Côtelette d'agneau",35,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060783/bizzart/menu/EB2F2B","OK","KEEP","Image Cloudinary existante"
"Viandes","Côte à L'os Grillée",33,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060807/bizzart/menu/IMG_96","OK","KEEP","Image Cloudinary existante"
"Viandes","Côte à L'os Bizz'Art",40,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060762/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Viandes","Filet de boeuf",36,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060767/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Viandes","Filet de boeuf sauce au choix",42,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060790/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Fruits de mer","Plateau Fruits de mer",50,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060755/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Fruits de mer","Crevettes sautées ou grillées",28.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060782/bizzart/menu/E82B11","OK","KEEP","Image Cloudinary existante"
"Fruits de mer","Poisson du jour",24,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060800/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Fruits de mer","Fruits de Mer Sautés",35,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060758/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Fruits de mer","Seiche gratinée aux crevettes et au miel",32,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060811/bizzart/menu/IMG_97","OK","KEEP","Image Cloudinary existante"
"Fruits de mer","Symphonie Fruits de mer",76,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060767/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Fruits de mer","Symphonie Terre-Mer",74,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060803/bizzart/menu/FD0F85","OK","KEEP","Image Cloudinary existante"
"Fruits de mer","Symphonie Terre-Mer",142,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060785/bizzart/menu/F04A3E","OK","KEEP","Image Cloudinary existante"
"Tacos","Poulet grillé",9.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060788/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Tacos","Poulet Mexicain",10,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060811/bizzart/menu/IMG_97","OK","KEEP","Image Cloudinary existante"
"Tacos","Poulet Pané",10,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060763/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Tacos","Cordon Bleu",10.7,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060804/bizzart/menu/IMG_02","OK","KEEP","Image Cloudinary existante"
"Tacos","Viande Hachée",11,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060771/bizzart/menu/A7D9EC","OK","KEEP","Image Cloudinary existante"
"MAkIOUB","Thon",8.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060793/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"MAkIOUB","Poulet grillé",9.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060800/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"MAkIOUB","Poulet Mexicain",10,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060790/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"MAkIOUB","Poulet Pané",10,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060789/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"MAkIOUB","Cordon Bleu",10.7,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060790/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"MAkIOUB","Spécial",11,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060793/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Soda","Eau Minérale 1/2L",1.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060782/bizzart/menu/E82B11","OK","KEEP","Image Cloudinary existante"
"Soda","Eau Minérale 1L",3,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060793/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Soda","Eau Gazeuse",3,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060807/bizzart/menu/IMG_96","OK","KEEP","Image Cloudinary existante"
"Soda","Soda",3,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060807/bizzart/menu/IMG_96","OK","KEEP","Image Cloudinary existante"
"Soda","Pétillante",3,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060800/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Soda","Citronnade",3.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060807/bizzart/menu/IMG_96","OK","KEEP","Image Cloudinary existante"
"Soda","Délio",2,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060768/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Soda","Orangina",3,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060759/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Soda","Sprite",3,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060798/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
